업소명,도로명주소,소재지주소,음식의유형,주된음식종류,전화번호
명송,"부산광역시 중구 해관로 32, 1~2층 (중앙동2가)",부산광역시 중구 중앙동2가 13 ,일실,"생선회, 초밥",051 246 1225
굴마을,"부산광역시 서구 구덕로 167, 지상2층 (아미동1가)",부산광역시 서구 아미동1가 21 지상2층 ,한식,굴국밥, 051 2415186
동경초밥,"부산광역시 서구 구덕로321번길 21, 남영빌딩 (서대신동2가)",부산광역시 서구 서대신동2가 10-1 남영빌딩 ,일식,생선초밥, 051 2425788
태성식당,부산광역시 서구 송도해변로 149 (암남동),부산광역시 서구 암남동 127-3 ,일식(횟집),생선회, 051 2421886
이조숯불갈비이조정식,부산광역시 서구 구덕로339번길 31-1 (서대신동3가),부산광역시 서구 서대신동3가 300-2 301-2 ,한식,숯불갈비, 051 2485104
미송하모샤브샤브,부산광역시 서구 충무대로 124 (암남동),부산광역시 서구 암남동 95-21 ,일식(횟집),생선회,051 244 6143
고주몽,부산광역시 서구 구덕로148번길 43-1 (토성동1가),부산광역시 서구 토성동1가 41-4 ,한식,참숯불갈비,051 246 2452
옛날오막집,부산광역시 서구 구덕로274번길 14 (동대신동1가),부산광역시 서구 동대신동1가 232-2 ,한식,양곱창, 051 2436973
물마,부산광역시 서구 대영로45번길 62 (서대신동3가),부산광역시 서구 서대신동3가 411 ,한식,전복삼계탕,051 256 6664
와와샤브(대신점),부산광역시 서구 대영로 54 (서대신동1가),부산광역시 서구 서대신동1가 54 ,한식,샤브샤브,051 245 3330
남원추어탕,부산광역시 동구 중앙대로180번길 9 (초량동),부산광역시 동구 초량동 1204-13 ,,설렁탕, 051 4635433
남경해물낙지,부산광역시 동구 중앙대로196번길 12-8 (초량동),부산광역시 동구 초량동 1204-6 ,,낙지볶음, 051 4696153
밀양돼지국밥,부산광역시 동구 중앙대로196번길 6-11 (초량동),부산광역시 동구 초량동 1204-17 ,,"대구탕,알탕", 051 4639926
부영회관,부산광역시 동구 중앙대로196번길 12-9 (초량동),부산광역시 동구 초량동 1203-17 ,,김치찌게, 051 4625501
부엌우동집,부산광역시 동구 중앙대로214번길 7-9 (초량동),부산광역시 동구 초량동 1200-13 ,,고등어찜,051 462 8610
고궁삼계탕,부산광역시 동구 중앙대로180번길 12-10 (초량동),부산광역시 동구 초량동 1212-3 ,,삼계탕, 051 4636360
고관해물탕,부산광역시 동구 중앙대로349번길 38 (수정동),부산광역시 동구 수정동 96-7 ,한식,해물탕, 051 4637585
별미청돼지국밥,부산광역시 동구 중앙대로226번길 3-2 (초량동),부산광역시 동구 초량동 1197-6 ,,설렁탕, 051 4657188
골목 갈비집,부산광역시 동구 중앙대로221번길 30 (초량동),부산광역시 동구 초량동 411-12 ,,돼지갈비, 051 4637538
감포참가자미,부산광역시 동구 범일로102번길 16-20 (범일동),부산광역시 동구 범일동 830-282 ,,생선초밥,051 643 3187
동촌황정순수육전골,부산광역시 동구 조방로 39-12 (범일동),부산광역시 동구 범일동 830-274 ,,수육전골, 051 6334566
남원 추어탕,부산광역시 동구 진시장로 13 (범일동),부산광역시 동구 범일동 644-10 ,,생선회, 051 6332333
어물전,"부산광역시 동구 조방로26번길 5 (범일동,, 830-198,284)","부산광역시 동구 범일동 830-197 , 830-198,284 ",,보쌈, 051 6447229
이어도식당,부산광역시 동구 중앙대로236번길 10 (초량동),부산광역시 동구 초량동 1196-2 ,,생선회, 051 4659959
양지탕,부산광역시 동구 중앙대로349번길 42 (수정동),부산광역시 동구 수정동 96-5 ,,복국, 051 4654650
소정식당,"부산광역시 동구 범곡남로 17 (범일동,1381-5,6)","부산광역시 동구 범일동 1381-4 1381-5,6 ",,한정식, 051 6432900
범일물갈비,부산광역시 동구 범일로102번길 16-10 (범일동),부산광역시 동구 범일동 830-260 ,,생선회,050713835451
항도회센타,부산광역시 동구 중앙대로221번가길 7 (초량동),부산광역시 동구 초량동 384-10 ,,아구찜,
동해낙지,부산광역시 동구 중앙대로221번길 43 (초량동),부산광역시 동구 초량동 423-2 ,,낙지볶음, 051 4669956
홍보석(부산점),"부산광역시 동구 범일로 125 (범일동,,9층일부)","부산광역시 동구 범일동 62-5 ,9층일부 ",,자장면, 051 6670892
고기백화점 식육식당,부산광역시 동구 중앙대로180번길 12-3 (초량동),부산광역시 동구 초량동 1213-3 ,한식,메밀국수,051 441 9291
참숯골,부산광역시 동구 조방로49번길 25 (범일동),부산광역시 동구 범일동 830-264 ,한식,갈비, 051 6438000
홍성방,부산광역시 동구 중앙대로179번길 16 (초량동),부산광역시 동구 초량동 571 ,,자장면,050713959495
신창돼지국밥,부산광역시 동구 중앙대로214번길 3-4 (초량동),부산광역시 동구 초량동 1200-8 ,,설렁탕, 051 4657180
고려홍삼삼계탕,부산광역시 동구 범일로102번길 16-9 (범일동),부산광역시 동구 범일동 830-268 ,,삼계탕, 051 6383317
건양정홍삼삼계탕 수정점,"부산광역시 동구 고관로 102 (수정동,동환빌딩 2층)",부산광역시 동구 수정동 159-1 동환빌딩 2층 ,한식,삼계탕, 051 4623335
더바른식당,"부산광역시 동구 진성로9번길 11 (수정동,(1층))",부산광역시 동구 수정동 1-161 (1층) ,,삼겹살,
조방왕돈까스전문점,"부산광역시 동구 자성로133번길 31, 신일빌딩 1층 107호 (범일동)",부산광역시 동구 범일동 830-130 신일빌딩 ,,돈까스,051 636 0802
텐이몽,부산광역시 동구 자성로133번길 10 (범일동),부산광역시 동구 범일동 830-9 ,중식,자장면,051 636 8009
대수정,부산광역시 동구 자성로133번길 46 (범일동),부산광역시 동구 범일동 830-77 ,,돌솥밥,051 647 0147
오륙도낙지범일본점,부산광역시 동구 정공단로 46-1 (범일동),부산광역시 동구 범일동 181-1 ,한식,낙지전골,051 638 1589
포항물회,부산광역시 영도구 절영로 478 (동삼동),부산광역시 영도구 동삼동 570-1 ,한식,물회, 051 4059077
장원쌈밥,부산광역시 영도구 중리로 46-9 (동삼동),부산광역시 영도구 동삼동 510-20 ,한식,쌈밥, 051 4044700
제주복국,부산광역시 영도구 절영로 481 (동삼동),부산광역시 영도구 동삼동 487 ,한식,복국, 051 4055050
남촌,부산광역시 영도구 남항로9번길 3 (남항동1가),부산광역시 영도구 남항동1가 59-3 ,한식,샤브샤브, 051 4153230
도원참치물회,부산광역시 영도구 절영로 468 (동삼동),부산광역시 영도구 동삼동 576 ,한식,물회,051 403 5777
1974 골목,부산광역시 부산진구 가야대로784번길 46 (부전동),부산광역시 부산진구 부전동 516-3 ,,숯불갈비, 051803 3850
우정분식,부산광역시 부산진구 동천로85번길 3 (부전동),부산광역시 부산진구 부전동 168-365 ,,돌솥비빔밥, 051803 0303
대서양식당,부산광역시 부산진구 부전로96번길 26 (부전동),부산광역시 부산진구 부전동 477-16 ,,참치회,051 809 0190
동해물회,부산광역시 부산진구 서전로 15 (부전동),부산광역시 부산진구 부전동 142-5 ,한식,물회, 051 8093305
제일횟집,"부산광역시 부산진구 서면문화로 24 (부전동,,25 (1,2,3층))","부산광역시 부산진구 부전동 398-12 ,25 (1,2,3층) ",,일식, 051 8056290
급행장,부산광역시 부산진구 서면문화로 4 (부전동),부산광역시 부산진구 부전동 259-27 ,한식,"소갈비, 갈비탕", 051 8092100
태화육개장,부산광역시 부산진구 서면문화로 18-1 (부전동),부산광역시 부산진구 부전동 397-21 ,한식,"육개장,수육", 051 8025995
장수국밥,"부산광역시 부산진구 새싹로29번길 8 (부전동,,30)","부산광역시 부산진구 부전동 401-23 ,30 ",한식,"돼지국밥,수육", 051 8042277
용궁해물탕,부산광역시 부산진구 서면문화로5번길 10 (부전동),부산광역시 부산진구 부전동 475-17 ,한식,해물탕,051 808 4711
동남갈비,부산광역시 부산진구 부전로96번길 35 (부전동),부산광역시 부산진구 부전동 474-129 ,한식,"돼지갈비, 삼겹살", 051 8043700
제임스백,"부산광역시 부산진구 중앙대로691번가길 24-7, 지상1-2층 (부전동)",부산광역시 부산진구 부전동 516-9 ,,"된장뚝배기,청국장", 051 8055464
남해수산횟집,부산광역시 부산진구 서면문화로 11-1 (부전동),부산광역시 부산진구 부전동 475-4 ,한식,생선회, 051818 9898
중앙숯불갈비,부산광역시 부산진구 골드테마길 65 (범천동),부산광역시 부산진구 범천동 847-32 ,,"돼지갈비,삼겹살", 051 6322008
홍이집,"부산광역시 부산진구 가야대로784번길 42, 지상1층 (부전동)",부산광역시 부산진구 부전동 516-2 지상1층 ,,"오리,삼겹바베큐",051 807 5555
춘하추동밀면,부산광역시 부산진구 서면문화로 48-1 (부전동),부산광역시 부산진구 부전동 404-3 ,분식,밀면, 051 8098659
전통음식점 원양,부산광역시 부산진구 동평로420번길 23 (양정동),부산광역시 부산진구 양정동 393-2 ,,"생갈비,쌈밥",051 864 0773
금룡만두,"부산광역시 부산진구 중앙대로702번길 17-1, 1,2층 (부전동)",부산광역시 부산진구 부전동 168-184 ,,중화요리,051 802 9168
본가낙지,부산광역시 부산진구 골드테마길 2-13 (범천동),부산광역시 부산진구 범천동 837-4 ,,낙지볶음, 051 6421041
가야돼지국밥,부산광역시 부산진구 가야대로454번길 11 (개금동),부산광역시 부산진구 개금동 177-282 ,한식,갈비찜, 051 8925859
대동반점,부산광역시 부산진구 복지로13번길 14 (개금동),부산광역시 부산진구 개금동 177-326 ,,중화요리, 051 8938887
오감 일식점,부산광역시 부산진구 중앙대로691번길 52 (부전동),부산광역시 부산진구 부전동 520-38 ,일식,"생선회,초밥",051 806 1585
일광횟집,부산광역시 부산진구 가야대로588번길 13 (가야동),부산광역시 부산진구 가야동 275-4 ,,생갈비, 051 8986858
동보성,"부산광역시 부산진구 서면문화로 27 (부전동,유원O/T 지하102호, 101호)","부산광역시 부산진구 부전동 474-80 유원O/T 지하102호, 101호 ",,"짜장면,탕수육", 051 8161649
마당집,부산광역시 부산진구 부전로 69 (부전동),부산광역시 부산진구 부전동 512-23 ,,"생등심, 생갈비", 051806 8602
대서양식당,부산광역시 부산진구 부전로96번길 20 (부전동),부산광역시 부산진구 부전동 477-30 ,,참치회, 051 8020909
함경면옥,부산광역시 부산진구 부전로66번길 32 (부전동),부산광역시 부산진구 부전동 516-42 ,,냉면, 051 8913000
부산초밥,부산광역시 부산진구 부전로66번길 16 (부전동),부산광역시 부산진구 부전동 516-67 ,,일식요리, 051 8191688
공감식당,"부산광역시 부산진구 동평로 81, 1층 (당감동)",부산광역시 부산진구 당감동 416-3 (1층) ,한식,삼겹살,051 891 2041
진수밥상,"부산광역시 부산진구 백양관문로 111 (당감동,(1층))",부산광역시 부산진구 당감동 808 (1층) ,분식,막국수, 051 8951511
(주)사미헌,"부산광역시 부산진구 서면문화로 19, 지하1~4층 (부전동)",부산광역시 부산진구 부전동 474-26 ,한식,"등심구이,갈비탕", 051 8196677
사랑채,부산광역시 부산진구 월드컵대로472번길 24 (초읍동),부산광역시 부산진구 초읍동 308-10 ,,, 051 8053832
미락,부산광역시 부산진구 당감서로 90 (부암동),부산광역시 부산진구 부암동 505-1 ,일식,"생선회,초밥", 051 8098077
삼성횟집,부산광역시 부산진구 신천대로65번길 29 (범천동),부산광역시 부산진구 범천동 869-3 ,,생선회,051 644 8693
백양돼지국밥,부산광역시 부산진구 백양관문로 84 (당감동),부산광역시 부산진구 당감동 792-12 ,한식,돼지국밥,051 898 0505
정가네합천돼지국밥,"부산광역시 부산진구 연수로11번길 57 (양정동,전원타워빌상가1층2호)",부산광역시 부산진구 양정동 145-12 전원타워빌상가1층2호 ,한식,돼지국밥,051 868 0071
백향만두,부산광역시 부산진구 당감로 118 (부암동),부산광역시 부산진구 부암동 560-14 ,,"우동,자장면", 051 8166960
그집갈비탕,부산광역시 부산진구 동평로406번길 39 (양정동),부산광역시 부산진구 양정동 389-9 ,,생선회,051 866 0009
다원,부산광역시 부산진구 서면문화로 23-1 (부전동),부산광역시 부산진구 부전동 474-31 ,,등심구이, 051808 3800
일품정가,부산광역시 부산진구 가야대로703번길 25 (당감동),부산광역시 부산진구 당감동 69-7 ,,삼겹살,051 891 9136
현대가든,부산광역시 부산진구 범양로125번길 12 (양정동),부산광역시 부산진구 양정동 507-22 ,,"생갈비,삼겹살", 051 8528866
거북이,"부산광역시 부산진구 전포대로 214 (전포동,,49)","부산광역시 부산진구 전포동 309-8 ,49 ",,순두부, 051 8082423
태백관,부산광역시 부산진구 서전로9번길 52 (부전동),부산광역시 부산진구 부전동 98-10 ,,자장면, 051 8069197
삼부식당,"부산광역시 부산진구 시민공원로19번길 38-6, 2층 (부암동)",부산광역시 부산진구 부암동 80-66 ,,조개칼국수,051 809 8778
자갈마당,부산광역시 부산진구 새싹로29번길 14-12 (부전동),부산광역시 부산진구 부전동 401-11 ,한식,숯불장어구이,051 807 9289
북경,부산광역시 부산진구 시민공원로19번길 32-5 (부암동),부산광역시 부산진구 부암동 80-26 ,,중화요리, 051 8076709
월강,"부산광역시 부산진구 서면로 7, 월강빌딩 1,2,3,4층 (부전동)",부산광역시 부산진구 부전동 533-10 월강빌딩 ,,일식요리,051 806 2500
도마위에 암소,부산광역시 부산진구 서면문화로 48 (부전동),부산광역시 부산진구 부전동 404-5 ,한식,한우,051 805 0073
승승집(가야점),부산광역시 부산진구 가야대로 597 (가야동),부산광역시 부산진구 가야동 56-2 ,한식,설렁탕, 051 8953392
돌쇠본가,부산광역시 부산진구 성지곡로12번길 25 (초읍동),부산광역시 부산진구 초읍동 102-4 ,,"전복갈비찜,돌솥밥",051 804 7980
진가네추어탕,"부산광역시 부산진구 백양순환로 9, 1층 (당감동, 동남주상복합아파트)",부산광역시 부산진구 당감동 623-2 ,한식,추어탕, 051 8914458
에스서울깍두기 전포점,부산광역시 부산진구 서전로 49 (전포동),부산광역시 부산진구 전포동 665-3 ,한식,"설렁탕,곰탕",051 816 3950
승승집 부전역점,"부산광역시 부산진구 중앙대로 786, 101동 2층 203,204,205,206호 (전포동, 에메랄드홈)",부산광역시 부산진구 전포동 876-4 에메랄드홈 ,,샤브샤브,051 808 1238
세연정,"부산광역시 부산진구 가야대로 554, 1층 (가야동)",부산광역시 부산진구 가야동 221-2 ,한식,소고기,051 867 2000
장승포바다장어구이,"부산광역시 부산진구 냉정로 202 (개금동,번지(1층))",부산광역시 부산진구 개금동 554-157 번지(1층) ,한식,바다장어구이,051 894 9996
초원가든,"부산광역시 부산진구 부전로 57, 지상1층 (부전동)",부산광역시 부산진구 부전동 514-1 지상1층 ,한식,"소양념갈비,소진갈비살,한우",051 806 8878
강원삼계탕,"부산광역시 부산진구 개금온정로 10 (개금동,796-1개금롯데캐슬상가2동제지1층 B117,B118,B119)","부산광역시 부산진구 개금동 796 796-1개금롯데캐슬상가2동제지1층 B117,B118,B119 ",한식,"삼계탕,곰탕류",051 502 9116
외식일번가 부산진구점,"부산광역시 부산진구 신천대로 222, 2,3층 (부암동)","부산광역시 부산진구 부암동 123-6 (2,3층) ",한식,쇠고기구이,051 816 0007
건양정홍삼삼계탕서면점,"부산광역시 부산진구 동성로 147 (전포동,외1필지(1.2층))",부산광역시 부산진구 전포동 878-20 외1필지(1.2층) ,한식,삼계탕,051 817 3317
갤러리움웨딩홀부페,"부산광역시 부산진구 중앙대로969번길 11, c201호 (양정동,양정롯데갤러리움아파트(2층))",부산광역시 부산진구 양정동 273-1 양정롯데갤러리움아파트(2층) c201호,뷔페,뷔페,051 852 6776
더스타,"부산광역시 부산진구 중앙대로666번길 50 (부전동,센트럴스타 상가동204,205,206호(지하2층))","부산광역시 부산진구 부전동 537-9 센트럴스타 상가동204,205,206호(지하2층) ",뷔페,뷔페,051 918 8000
바다호호복국,"부산광역시 부산진구 서면문화로 26, 1층 (부전동)",부산광역시 부산진구 부전동 398-8 ,한식,복국, 051 8070009
정동진해물탕해물찜,"부산광역시 부산진구 서면문화로 37 (부전동, 정동진해물탕2~3층)","부산광역시 부산진구 부전동 406-14 외1필지, 지상2~3층 ",한식,"해물탕,해물찜", 051 8098208
대궐집,부산광역시 동래구 동래로136번길 26 (복천동),부산광역시 동래구 복천동 319-3 ,한식,소갈비,051 552 0127
청산도횟집,부산광역시 동래구 명륜로 80-10 (수안동),부산광역시 동래구 수안동 191-7 ,한식,생선회,051 552 9528
미조리식당,부산광역시 동래구 충렬대로256번길 6 (수안동),부산광역시 동래구 수안동 268-10 ,일식,생선회, 051 5561771
오륙도낙지,부산광역시 동래구 사직북로5번길 30 (사직동),부산광역시 동래구 사직동 90-39 ,,낙지볶음, 051 5061854
수목원,부산광역시 동래구 금정마을로 81 (온천동),부산광역시 동래구 온천동 1119-41 ,식육취급,오리, 051 5583399
금수복국 온천점,부산광역시 동래구 온천장로107번길 18 (온천동),부산광역시 동래구 온천동 137-12 ,,복국, 051 5559912
영남식육식당 안락점,부산광역시 동래구 충렬대로 406 (안락동),부산광역시 동래구 안락동 606-21 ,한식,한우숯불구이, 051528 7222
명진생아구찜,부산광역시 동래구 사직북로13번길 13-3 (사직동),부산광역시 동래구 사직동 91-3 ,한식,아구찜, 051 5044445
주식회사세연정,부산광역시 동래구 충렬대로 149 (온천동),부산광역시 동래구 온천동 1438-5 ,,"생갈비, 양념갈비", 051506 6666
금문,부산광역시 동래구 온천장로119번길 57 (온천동),부산광역시 동래구 온천동 144-30 ,중식,중식, 051 5554987
정림,부산광역시 동래구 충렬대로237번길 31-3 (수안동),부산광역시 동래구 수안동 460-3 ,한식,약선요리,051 554 1994
큰집 돼지국밥보쌈,부산광역시 동래구 안연로 58-1 (안락동),부산광역시 동래구 안락동 633-9 ,,돼지국밥, 051 5250555
봉식당,부산광역시 동래구 온천장로119번길 26 (온천동),부산광역시 동래구 온천동 150-15 ,,"보쌈,회",051 556 9911
대하찹쌀아구찜,부산광역시 동래구 사직북로28번길 145 (온천동),부산광역시 동래구 온천동 1256-17 ,,아구찜,
금수복국 동래점,부산광역시 동래구 충렬대로 210 (수안동),부산광역시 동래구 수안동 1-5 ,,복국, 051 5537700
논두렁추어탕,부산광역시 동래구 명륜로139번길 42-5 (명륜동),부산광역시 동래구 명륜동 551-13 ,한식,추어탕, 051 5535769
마루한,부산광역시 동래구 중앙대로1367번길 48-5 (온천동),부산광역시 동래구 온천동 751-12 ,분식,만두국, 051 5533070
골목집,부산광역시 남구 용호로 203-4 (용호동),부산광역시 남구 용호동 532-47 ,한식,돼지갈비, 051 6234592
초원복국,부산광역시 남구 황령대로492번길 30 (대연동),부산광역시 남구 대연동 18-8 ,한식,복국, 051 6283935
청호집,부산광역시 남구 신선로 431 (용당동),부산광역시 남구 용당동 554-2 ,한식,선지국,051 627 6513
더맛,"부산광역시 남구 조각공원로 45, 2층 (대연동)",부산광역시 남구 대연동 561-8 2층 ,한식,"꼬리곰탕, 막국수",051 621 0022
다이닝센 부산본점,"부산광역시 남구 용호로 88, 3,4층 (용호동)",부산광역시 남구 용호동 135-9 ,양식,파스타,051 621 8833
쌍둥이돼지국밥 본점,부산광역시 남구 유엔평화로 35-1 (대연동),부산광역시 남구 대연동 889-5 ,한식,돼지국밥,051 628 7021
화명참숯갈비,부산광역시 북구 화명신도시로 127 (화명동),부산광역시 북구 화명동 2271-6 ,,소갈비, 051 3340468
궁채,"부산광역시 북구 만덕대로 23, 6층 (덕천동, 뉴코아)",부산광역시 북구 덕천동 398-2 ,한식,정식,051 335 3005
선창횟집,부산광역시 해운대구 달맞이길62번길 67 (중동),부산광역시 해운대구 중동 996-6 ,,생선회, 051 7477470
금수복국 본점,"부산광역시 해운대구 중동1로43번길 23 (중동, 1~2층)",부산광역시 해운대구 중동 1394-65 1~2층 ,,복국, 051 7423600
(주)오발탄에프에스 오발탄 해운대점,"부산광역시 해운대구 해운대로570번길 10 (우동, 지상1,2층일부)",부산광역시 해운대구 우동 646-1 ,,양곱창, 051 7466080
3 3 숯불갈비,"부산광역시 해운대구 윗반송로51번길 55 (반송동, 1층)",부산광역시 해운대구 반송동 40-1034 (1층) ,한식,돼지갈비, 051 5325647
해운대소문난삼계탕,"부산광역시 해운대구 중동2로 6 (중동, 외1필지 1층)","부산광역시 해운대구 중동 1394-39 ,40 1층 ",,,051 741 4545
수비가든,부산광역시 해운대구 해운대로469번길 142 (우동),부산광역시 해운대구 우동 1072-38 ,,오리구이, 051 7468998
거북선횟집,부산광역시 해운대구 달맞이길62번길 69 (중동),부산광역시 해운대구 중동 996-7 ,,생선회, 051 7418851
해운대이름난암소갈비,"부산광역시 해운대구 달맞이길 22 (중동, 외2필지 지상3층)","부산광역시 해운대구 중동 1139-4 1147-4,5 지상3층 ",육류취급,소갈비, 051 7440054
원조지구촌암소숯불생,"부산광역시 해운대구 청사포로 103 (중동, 외3필지(1층,2층))","부산광역시 해운대구 중동 503-1 외3필지(1층,2층) ",,갈비류, 051 7046885
신토불이보쌈,"부산광역시 해운대구 구남로29번길 35 (중동, 2층)",부산광역시 해운대구 중동 1380-4 (2층) ,,보쌈, 051 7311441
가야밀면,"부산광역시 해운대구 재반로 142 (재송동, 1층)",부산광역시 해운대구 재송동 1144-5 (1층) ,분식,밀면, 051 7840052
초원복국,"부산광역시 해운대구 해운대해변로 329-2 (중동, 2,3층)","부산광역시 해운대구 중동 1225-5 2,3층 ",,복요리, 051 7435291
남해돼지국밥,"부산광역시 해운대구 선수촌로 184 (반여동, 지상1층)",부산광역시 해운대구 반여동 870-1 ,,돼지국밥, 051 5230468
예이제,"부산광역시 해운대구 해운대해변로298번길 29 (중동, 해운대푸르지오씨디 210~216호)",부산광역시 해운대구 중동 1123 해운대푸르지오씨디 210~216호 ,,한정식, 051 7311100
솔내음한정식,"부산광역시 해운대구 달맞이길117번길 17-11 (중동, 지상3층)",부산광역시 해운대구 중동 1509-5 지상3층 ,,돌솥밥, 051 7468818
덴포라,"부산광역시 해운대구 좌동로10번길 21 (중동, 지상2층)",부산광역시 해운대구 중동 1318-5 지상2층 ,,바다가재, 051 7420633
동백섬 횟집,"부산광역시 해운대구 해운대해변로209번나길 17 (우동, 지상1,2,3층)",부산광역시 해운대구 우동 655-7 ,,생선회, 051 7413888
배비장보쌈,"부산광역시 해운대구 해운대로483번길 1-1 (우동, 외1필지 지상2층)",부산광역시 해운대구 우동 959-1 ,,보쌈, 051 7427755
언양봉계숯불갈비,"부산광역시 해운대구 재반로 186 (반여동, 지상2층 일부)",부산광역시 해운대구 반여동 1291-1021 ,,생갈비, 051 7523662
외식일번가,"부산광역시 해운대구 해운대로 425 (우동, 지상1,2층)",부산광역시 해운대구 우동 1060-1 ,,갈비살,051 743 3338
해운마루,"부산광역시 해운대구 달맞이길62번길 65 (중동, 지상1층)",부산광역시 해운대구 중동 996-1 지상1층 ,,생선회, 051 7432772
서울깍두기,"부산광역시 해운대구 세실로69번길 19 (좌동, 블루스퀘어B동101호)",부산광역시 해운대구 좌동 1461-8 ,,설렁탕,051 703 0085
수백한상,"부산광역시 해운대구 구남로8번길 86, 수백한상 1~2층 (우동)",부산광역시 해운대구 우동 641-18 수백한상 ,,돼지국밥,051 746 5953
할매복국,"부산광역시 해운대구 달맞이길62번길 1 (중동, 2,3층)","부산광역시 해운대구 중동 940-14 2,3층 ",,복국,051 742 2789
수림횟집,"부산광역시 해운대구 해운대해변로221번길 15 (우동, A동 지상1층 )",부산광역시 해운대구 우동 647-1 ,한식,생선회,051 744 5570
동백삼계탕,"부산광역시 해운대구 마린시티3로 23 (우동, 벽산e오렌지상가 320호 - 325호 )",부산광역시 해운대구 우동 1435 ,한식,삼계탕,051 900 9933
수미밥상,"부산광역시 해운대구 재반로 130-1 (재송동, 1층일부)",부산광역시 해운대구 재송동 1131-1 ,한식,보리밥,0517828536
해돈복국,부산광역시 사하구 신산로 169 (신평동),부산광역시 사하구 신평동 544-2 ,한식,복국, 051 2012089
"명품 학장 소갈비찜,탕(괴정점)",부산광역시 사하구 사하로 184-6 (괴정동),부산광역시 사하구 괴정동 958-23 ,한식,생선회, 051 2027890
가락횟집,부산광역시 사하구 하신번영로261번길 14 (하단동),부산광역시 사하구 하단동 1165-9 ,한식,생선회, 051 2934959
고흥녹동세발낙지,부산광역시 사하구 원양로 376 (감천동),부산광역시 사하구 감천동 135-1 ,한식,낙지전골, 051 2021985
오거리밀면,부산광역시 사하구 괴정로 10 (하단동),부산광역시 사하구 하단동 608-17 ,분식,밀면,051 207 6369
어심식당,부산광역시 사하구 낙동대로450번길 12 (당리동),부산광역시 사하구 당리동 305-2 ,일식,생선회, 051 2022244
기운센갈비탕 다대점,부산광역시 사하구 윤공단로 17 (다대동),부산광역시 사하구 다대동 958-16 ,한식,한정식, 051 2664400
옥천숯불구이,부산광역시 사하구 윤공단로 64 (다대동),부산광역시 사하구 다대동 947-6 ,한식,돼지숯불구이, 051 2612669
추담골,부산광역시 사하구 낙동대로233번길 34 (괴정동),부산광역시 사하구 괴정동 878-1 ,한식,추어탕, 051 2912422
