name,address,hours,phone,menu,description,category,price_range,specialties,area
초원복국주소부산광역,부산광역시 남구 황령대로492번길 30 (대연동),09:00~15:00(마지막 주문 14:10)/17:00~21:00 (마지막 주문 20:10),051-628-3935,"메뉴 복국(은복 1만6천원, 밀복 2만5천원, 까치복 2만6천원, 참복 4만5천원), 복불고기(2인 이상, 1인 은복 1만","초원복국주소부산광역시 남구 황령대로492번길 30 (대연동)전화051-628-3935영업시간09:00~15:00(마지막 주문 14:10)/17:00~21:00 (마지막 주문 20:10)
토, 일요일 09:00~20:00(마지막 주문 19:10)휴일명절 휴무메뉴복국(은복 1만6천원, 밀복 2만5천원, 까치복 2만6천원, 참복 4만5천원), 복불고기(2인 이상.",갈비/고기,"5,000~6,000원",['대표메뉴'],남구
중앙식당,부산광역시 중구 해관로 20-3 (중앙동1가),09:00~21:30,051-246-1129,"메뉴 생대구탕, 횟밥(각 2만원), 명태탕(1만원), 회비빔밥(1만5천원), 명태조림(2만5천원), 광어회(소 4만원, 중 6만원, 대 7만원)","중앙식당주소부산광역시 중구 해관로 20-3 (중앙동1가)전화051-246-1129영업시간09:00~21:30휴일일요일, 명절 휴무메뉴생대구탕, 횟밥(각 2만원), 명태탕(1만원),...",생선회/해산물,"5,000~5,000원","['생대구탕', '명태탕', '명태조림']",중구
제일장횟집,부산광역시 수영구 민락수변로7번길 60 (민락동),10:00~22:00,051-752-9252,"메뉴 자연산활어회(시가), 식사별도(3천원), 자연산활어회덮밥(2만원)","제일장횟집주소부산광역시 수영구 민락수변로7번길 60 (민락동)전화051-752-9252영업시간10:00~22:00휴일연중무휴메뉴자연산활어회(시가), 식사별도(3천원), 자연산활어회...",생선회/해산물,"3,000~3,000원","['자연산활어회', '생선회']",수영구
장군멸치회촌주소부산,정보없음,09:30~20:00(마지막 주문 19:30),051-721-2148,"메뉴 멸치회무침(소 3만원, 중 4만원, 대 5만원), 멸치찌개, 멸치조림(각 소 2만5천원, 중 3만5천원, 대 4만5천원), 멸치튀김(1만원)",장군멸치회촌주소부산광역시 기장군 기장읍 기장해안로 607 (기장읍)전화051-721-2148영업시간09:30~20:00(마지막 주문 19:30)휴일월요일 휴무메뉴멸치회무침(소 3만...,생선회/해산물,"5,000~5,000원","['멸치회', '멸치찌개', '멸치조림']",기타
일광대복집,정보없음,08:00~21:00(마지막 주문 20:20),051-721-1561,음식,일광대복집주소부산광역시 기장군 일광읍 이화로 3 (일광읍)전화051-721-1561영업시간08:00~21:00(마지막 주문 20:20)휴일월요일 휴무메뉴...,복요리,"15,000~30,000원",['대표메뉴'],기타
이원화구포국시주소부,부산광역시 북구 구포시장1길 6 (구포동),09:00~19:00(마지막 주문 18:30),정보없음,"메뉴 따신국시/차븐국시(5천원), 비빔국시(6천원), 회비빔국시(7천원), 콩국시(6천원)","이원화구포국시주소부산광역시 북구 구포시장1길 6 (구포동)전화051-333-989영업시간09:00~19:00(마지막 주문 18:30)휴일월요일메뉴따신국시/차븐국시(5천원), 비빔국...",생선회/해산물,"5,000~7,000원",['대표메뉴'],북구
은하갈비,부산광역시 동구 초량중로 86 (초량동),11:00~22:00,051-467-4303,"메뉴 양념갈비(160g 1만1천원), 돼지목살, 생갈비, 삼겹살(각 140g 1만1천원), 된장찌개(2천원","은하갈비주소부산광역시 동구 초량중로 86 (초량동)전화051-467-4303영업시간11:00~22:00휴일둘째 주 화요일메뉴양념갈비(160g 1만1천원), 돼지목살, 생갈비, 삼겹...",갈비/고기,"1,000~2,000원","['양념갈비', '생갈비', '된장찌개']",동구
원조전복죽집,부산광역시 해운대구 해운대해변로298번길 24 (중동),06:30~ 23:00,051-742-4690,"메뉴 원조전복죽(1만4천원, 특 1만9천원), 프리미엄전복죽(소 2만4천원, 대 3만6천원), 전복해초비빔밥(1만4천원), 전복회, 전복버터구이(각 소 3만7천원, 대 5만8천","원조전복죽집주소부산광역시 해운대구 해운대해변로298번길 24 (중동)전화051-742-4690영업시간06:30~ 23:00휴일연중 무휴메뉴원조전복죽(1만4천원, 특 1만9천원), ...",생선회/해산물,"4,000~9,000원","['원조전복죽', '프리미엄전복죽', '전복회']",해운대구
원조소문난산곰장어주,부산광역시 동래구 금강공원로26번길 34 (온천동),16:00~24:00(마지막 주문 23:10),051-554-8400,"메뉴 곰장어양념구이, 곰장어소금구이, 곰장어통구이(각 소 4만원, 중 5만원, 대 6만원)",원조소문난산곰장어주소부산광역시 동래구 금강공원로26번길 34 (온천동)전화051-554-8400영업시간16:00~24:00(마지막 주문 23:10) | 일요일 15:00~23:00...,곱창,"10,000~20,000원","['곰장어양념구이', '곰장어소금구이', '곰장어통구이']",동래구
원조바다집,부산광역시 중구 광복로43번길 18 (신창동2가),11:00~21:00,051-245-1924,"메뉴 수중전골, 낙새볶음, 낙곱볶음(각 1만2천원),","원조바다집주소부산광역시 중구 광복로43번길 18 (신창동2가)전화051-245-1924영업시간매일 11:00~21:00휴일명절 당일메뉴수중전골, 낙새볶음, 낙곱볶음(각 1만2천원)...",생선회/해산물,"2,000~2,000원",['대표메뉴'],중구
원조,부산광역시 서구 구덕로238번길 6 (부용동1가),10:30~19:30(재료 소진 시 마감),051-256-3391,"메뉴 완당, 완당면, 발국수(각 8천5백원), 교자완당(1만2천5백원), 돌우동(9천5백원), 유부초밥(4천원), 유부우동(7천5백원)","원조18번완당발국수주소부산광역시 서구 구덕로238번길 6 (부용동1가)전화051-256-3391영업시간10:30~19:30(재료 소진 시 마감)휴일연중무휴메뉴완당, 완당면, 발국수...",국수/면류,"4,000~4,000원","['완당면', '발국수']",서구
용암할매횟집,정보없음,09:00~20:00(마지막 주문 19:00),051-721-2483,"메뉴 멸치회, 멸치찌개(각 소 2만5천원, 중 3만5천원, 대 4만5천원), 갈치조림(1인 3만5천원, 특 5만5천원), 멸치구이(1만원), 갈치구이(1인 3만5천)","용암할매횟집주소부산광역시 기장군 기장읍 기장해안로 615 (기장읍)전화051-721-2483영업시간09:00~20:00(마지막 주문 19:00)휴일수요일 휴무메뉴멸치회, 멸치찌개(...",생선회/해산물,"5,000~5,000원","['멸치회', '멸치찌개', '갈치조림']",기타
용광횟집,부산광역시 중구 보수대로106번길 35 (보수동3가),17:00~22:00,051-255-6859,"메뉴 생선회(소 5만원, 대 7만원), 아나고조림(3만원), 곰장어묵(1만원), 회비빔밥(8천원)","용광횟집주소부산광역시 중구 보수대로106번길 35 (보수동3가)전화051-255-6859영업시간17:00~22:00휴일일요일 휴무메뉴생선회(소 5만원, 대 7만원), 아나고조림(3...",생선회/해산물,"8,000~8,000원","['생선회', '아나고조림']",중구
온천입구기장곰장어주,부산광역시 동래구 시실로 20 (명륜동),11:00~21:00(마지막 주문 20:00),051-554-2878,"메뉴 양념구이, 소금구이(각 소 4만원, 중 5만원, 대 6만원)","온천입구기장곰장어주소부산광역시 동래구 시실로 20 (명륜동)전화051-554-2878영업시간11:00~21:00(마지막 주문 20:00)휴일연중무휴메뉴양념구이, 소금구이(각 소 4...",곱창,"10,000~20,000원","['양념구이', '소금구이']",동래구
옥생관주소부산광역시,부산광역시 중구 대청로 66 (부평동1가),11:30~14:30/16:00~20:50,051-245-0298,"메뉴 짜장면(6천원), 짬뽕, 우동(각 8천원), 볶음밥(7천원), 탕수육(2만3천원), 깐풍기(3만5천원), 양장피(4만원)","옥생관주소부산광역시 중구 대청로 66 (부평동1가)전화051-245-0298영업시간11:30~14:30/16:00~20:50휴일화요일, 명절 당일 휴무메뉴짜장면(6천원), 짬뽕, ...",국수/면류,"3,000~8,000원",['짜장면'],중구
오뚜기식당,부산광역시 중구 중앙대로41번길 1-18 (중앙동1가),09:00~22:00,051-257-0944,"메뉴 대구탕(2만2천원), 대구뽈탕(2만5천원), 생태탕(1만5천원), 광어선어회(4만원), 회백반(2만원)","오뚜기식당주소부산광역시 중구 중앙대로41번길 1-18 (중앙동1가)전화051-257-0944영업시간09:00~22:00휴일명절 휴무메뉴대구탕(2만2천원), 대구뽈탕(2만5천원), ...",생선회/해산물,"2,000~5,000원","['대구탕', '대구뽈탕', '생태탕']",중구
옛날오막집,부산광역시 서구 구덕로274번길 14 (동대신동1가),12:00~21:30(마지막 주문 20:30),051-243-6973,음식,"옛날오막집주소부산광역시 서구 구덕로274번길 14 (동대신동1가)전화051-243-6973영업시간12:00~21:30(마지막 주문 20:30)휴일두 번째, 네 번째 월요일 휴무메뉴특양(170g 3만8천원), 대창, 곱창(각 180g 3만7천원), 백특양(130g 4만1천원), 양념갈비(280g 4만5천원), 생갈비(220g 5만원), 염통, 콩팥(180g .",갈비/고기,"1,000~8,000원",['대표메뉴'],서구
영주복국주소부산광역,부산광역시 동구 중앙대로180번길 12-7 (초량동),08:00~21:00,051-466-3616,음식,"영주복국주소부산광역시 동구 중앙대로180번길 12-7 (초량동)전화051-466-3616영업시간08:00~21:00 | 토요일 09:00~20:00휴일일요일, 공휴일 휴무메뉴참복(2만5천원), 복튀김(2만원), 까치복(1만8천원), 밀복(2만원), 은복(1만2천원), 복불고기(소 4만원, 대 5만원), 참복수육(소 8만원, 대 9만원), 까치복수육, 밀복수.",갈비/고기,"2,000~8,000원",['대표메뉴'],동구
영주동삼대복국집,부산광역시 강서구 명지국제8로 284 (명지동),08:00~21:00(마지막 주문 20:30),051-465-7210,"메뉴 은복(1만2천원), 까치복(2만5천원), 참복(4만원), 은복수육(소 4만원, 대 5만원), 까치수육(7만원)","영주동삼대복국집주소부산광역시 강서구 명지국제8로 284 (명지동)전화051-465-7210영업시간08:00~21:00(마지막 주문 20:30)휴일연중무휴메뉴은복(1만2천원), 까치...",복요리,"2,000~5,000원",['대표메뉴'],강서구
영변횟집,부산광역시 해운대구 송정강변로 15 (송정동),11:00~21:00,051-703-7590,음식,"영변횟집주소부산광역시 해운대구 송정강변로 15 (송정동)전화051-703-7590영업시간11:00~21:00휴일연중무휴메뉴세꼬시(3만원), 가자미(4만원), 도다리(4만5천원), ...",생선회/해산물,"5,000~5,000원",['생선회'],해운대구
신흥반점,부산광역시 서구 충무대로 284-1 (충무동1가),11:00~13:50/16:00~20:00(마지막 주문 19:30),051-242-6164,음식,"신흥반점주소부산광역시 서구 충무대로 284-1 (충무동1가)전화051-242-6164영업시간11:00~13:50/16:00~20:00(마지막 주문 19:30)휴일일요일 휴무메뉴짜장면(6천원), 짬뽕(8천원), 삼선짜장면, 사천짜장면, 잡채밥(각 9천원), 광동밥, 삼선짬뽕, 사천짬뽕, 광동면, 삼선우동, 삼선울면(각 1만원), 깐풍기, 라조육(각 3만5천원.",국수/면류,"5,000~9,000원",['대표메뉴'],서구
신흥관주소부산광역시,부산광역시 해운대구 중동1로 31-1 (중동),11:30~21:00,051-746-0062,"메뉴 짜장면(7천원), 우동(8천원), 짬뽕(9천원), 탕수육(중 2만6천원, 대 3만6천원), 깐풍기(3만4천원)","신흥관주소부산광역시 해운대구 중동1로 31-1 (중동)전화051-746-0062영업시간11:30~21:00휴일월, 화, 수요일 휴무메뉴짜장면(7천원), 우동(8천원), 짬뽕(9천원...",국수/면류,"4,000~9,000원",['짜장면'],해운대구
신창국밥,부산광역시 서구 보수대로 53 (토성동1가),09:00~21:00(마지막 주문 20:30),051-244-1112,"메뉴 돼지국밥(1만원), 따로국밥(1만1천원), 수육밥(1만3천원), 수육(소 3만2천원, 대 4만8천원)","신창국밥주소부산광역시 서구 보수대로 53 (토성동1가)전화051-244-1112영업시간09:00~21:00(마지막 주문 20:30)휴일일요일 휴무메뉴돼지국밥(1만원), 따로국밥(1...",국밥,"1,000~8,000원","['돼지국밥', '따로국밥', '신창국밥']",서구
신발원주소부산광역시,부산광역시 동구 대영로243번길 62 (초량동),11:00~21:00(마지막 주문 20:20),051-467-0177,음식,"신발원주소부산광역시 동구 대영로243번길 62 (초량동)전화051-467-0177영업시간11:00~21:00(마지막 주문 20:20)휴일화요일 휴무메뉴고기만두, 찐교자(각 4천5백원), 군만두(5천3백원), 마라만두, 새우교자(각 6천5백원), 콩국&과자(3천5백원), 백새우만두(4천원), 마라비빔면, 쿵푸면(각 4천5백원), 숙주나물(2천5백원), 부추당.",국수/면류,"4,000~4,000원",['대표메뉴'],동구
송정,부산광역시 부산진구 서면로68번길 33 (부전동),08:30 - 18:30,051-806-5722,"메뉴 돼지국밥, 순대국밥, 내장국밥, 따로국밥(각 9천원), 수육백반(1만1천원), 찹쌀순대(소 1만원, 대 1만3천원), 수육(소 2만8천원, 대 3만3천원)","송정3대국밥주소부산광역시 부산진구 서면로68번길 33 (부전동)전화051-806-5722영업시간24시간 영업휴일명절 휴무메뉴돼지국밥, 순대국밥, 내장국밥, 따로국밥(각 9천원), ...",국밥,"1,000~9,000원","['돼지국밥', '순대국밥', '내장국밥']",부산진구
속씨원한대구탕주소부,부산광역시 해운대구 달맞이길62번길 28 (중동),08:00~15:00/16:00~22:00(마지막 주문 21:00),051-744-0238,"메뉴 대구탕(1만5천원), 달걀말이(9천원), 대구찜(5만5천원), 곤이추가(3천원)","속씨원한대구탕주소부산광역시 해운대구 달맞이길62번길 28 (중동)전화051-744-0238영업시간08:00~15:00/16:00~22:00(마지막 주문 21:00)
토, 일요일, ...",기타,"3,000~9,000원",['대구탕'],해운대구
성일집,부산광역시 중구 대교로 103 (중앙동6가),11:00~23:00(마지막 주문 22:00),051-463-5888,"메뉴 곰장어소금구이, 곰장어양념구이(각 1만8천원)","성일집주소부산광역시 중구 대교로 103 (중앙동6가)전화051-463-5888영업시간11:00~23:00(마지막 주문 22:00)휴일명절 휴무메뉴곰장어소금구이, 곰장어양념구이(각 ...",곱창,"8,000~8,000원","['곰장어소금구이', '곰장어양념구이']",중구
서진섭돼지국밥,부산광역시 중구 광복로39번길 30-1 (신창동2가),09:00~20:00(마지막 주문 19:30),051-254-5074,음식,"서진섭돼지국밥주소부산광역시 중구 광복로39번길 30-1 (신창동2가)전화051-254-5074영업시간09:00~20:00(마지막 주문 19:30)휴일첫째, 셋째, 다섯째 주 일요일 휴무메뉴돼지국밥, 순대국밥(각 1만원), 섞어국밥(1만1천원), 내장국밥(1만2천원), 특모둠국밥, 수육백반(각 1만3천원), 수육(소, 3만5천원, 중 4만원, 대 5만원), .",국밥,"1,000~5,000원",['서진섭돼지국밥'],중구
서울깍두기주소부산광,부산광역시 중구 구덕로34번길 8 (남포동2가),08:00~20:30(마지막 주문 20:00),051-245-3950,"메뉴 설렁탕, 곰탕(1만4천원, 특 1만7천원), 양지탕(1만6천원, 특 1만9천원), 수육(8만원)","서울깍두기주소부산광역시 중구 구덕로34번길 8 (남포동2가)전화051-245-3950영업시간08:00~20:30(마지막 주문 20:00)휴일연중무휴메뉴설렁탕, 곰탕(1만4천원, 특...",곱창,"4,000~9,000원","['설렁탕', '곰탕', '양지탕']",중구
새진주식당,부산광역시 중구 흑교로 60 (보수동1가),11:00~20:30,051-256-9110,"메뉴 육회비빔밥(1만5천원), 돌솥비빔밥, 회비빔밥(각 1만7천원), 석쇠불고기(소 3만원, 대 4만원), 육회(소 3만원, 대 5만원), 가오리무침(3만원), 파전(2만5천원)","새진주식당주소부산광역시 중구 흑교로 60 (보수동1가)전화051-256-9110영업시간11:00~20:30휴일연중무휴메뉴육회비빔밥(1만5천원), 돌솥비빔밥, 회비빔밥(각 1만7천원...",갈비/고기,"5,000~7,000원",['육회'],중구
새송도복국주소부산광,부산광역시 서구 충무시장길 34 (충무동1가),05:00~21:00,051-254-7867,"메뉴 복국(1만2천원), 복매운탕(1만3천원), 복수육백반(2만원), 복수육(소 2만5천원, 대 3만5천원)","새송도복국주소부산광역시 서구 충무시장길 34 (충무동1가)전화051-254-7867영업시간05:00~21:00휴일연중무휴메뉴복국(1만2천원), 복매운탕(1만3천원), 복수육백반(2...",복요리,"2,000~5,000원",['복매운탕'],서구
삼생원주소부산광역시,부산광역시 동구 대영로243번길 56 (초량동),13:00~21:00,051-468-4881,"메뉴 콩국(4천원), 만두(8개 7천원), 식빵(1천5백원), 달걀빵, 팥빵(각 1천2백원), 군만두(6개 7천원), 공갈빵(1천5백원)","삼생원주소부산광역시 동구 대영로243번길 56 (초량동)전화051-468-4881영업시간13:00~21:00휴일월, 화요일 휴무(화요일 변동 가능)메뉴콩국(4천원), 만두(8개 7...",기타,"4,000~7,000원",['대표메뉴'],동구
삼대돼지불고기주소부,부산광역시 동래구 사직북로28번길 197 (온천동),11:30~22:00(마지막 주문 21:10),051-505-0388,"메뉴 돼지양념갈비(200g 1만1천원), 돼지생갈비(150g 1만1천원), 돼지간장불고기(6천9백원)","삼대돼지불고기주소부산광역시 동래구 사직북로28번길 197 (온천동)전화051-505-0388영업시간11:30~22:00(마지막 주문 21:10)휴일월요일, 명절메뉴돼지양념갈비(20...",갈비/고기,"1,000~1,000원","['돼지양념갈비', '돼지생갈비']",동래구
산수갑산주소부산광역,부산광역시 중구 중구로24번길 21-5 (신창동2가),12:00~15:30/16:30~21:30(마지막 주문 20:50),07-1374-7455,음식,"산수갑산주소부산광역시 중구 중구로24번길 21-5 (신창동2가)전화0507-1374-7455영업시간12:00~15:30/16:30~21:30(마지막 주문 20:50)휴일연중무휴메뉴돼지갈비한판(450g 3만1천5백원), 숯불직화불고기(200g 9천원), 숯불직화삼겹살(200g 1만원),돼지두루치기, 돼지야채볶음(각 8천원), 김치찌개(8천원), 순두부찌개(7.",갈비/고기,"8,000~9,000원",['대표메뉴'],중구
부산명물횟집,부산광역시 중구 자갈치해안로 55 (남포동4가),11:00~15:00/16:30~21:30,051-245-4995,음식,"부산명물횟집주소부산광역시 중구 자갈치해안로 55 (남포동4가)전화051-245-4995영업시간11:00~15:00/16:30~21:30휴일첫째, 셋째 주 월요일, 명절 휴무메뉴회백...",생선회/해산물,"20,000~35,000원",['생선회'],중구
백화양곱창,부산광역시 중구 자갈치로23번길 6 (남포동6가),12:00~24:00(마지막 주문 23:30),051-245-0105,"메뉴 양곱창(250g 4만5천원), 양모둠(300g 양념, 소금 각 3만9천원), 볶음밥(1만2천원)","백화양곱창주소부산광역시 중구 자갈치로23번길 6 (남포동6가)전화051-245-0105영업시간12:00~24:00(마지막 주문 23:30)휴일첫째, 셋째, 다섯째 주 일요일 휴무메...",곱창,"2,000~9,000원",['대표메뉴'],중구
박옥희할매집,부산광역시 해운대구 달맞이길62번길 28 (중동),08:30 - 18:30,051-747-7625,음식,"박옥희할매집원조복국주소부산광역시 해운대구 달맞이길62번길 28 (중동)전화051-747-7625영업시간24시간 영업휴일연중무휴메뉴복국, 복매운탕(각 은복 1만3천원, 밀복 2만2천...",복요리,"3,000~3,000원",['대표메뉴'],해운대구
밀양국밥,부산광역시 사상구 사상로212번길 6 (괘법동),08:30~02:00(익일),051-311-1270,"메뉴 국밥, 내장국밥(각 1만원), 따로국밥(1만5백원), 순대국밥(1만원), 수육백반(1만2천원), 수육(소 2만8천원, 중 3만3천원, 대 3만9천원)","밀양국밥주소부산광역시 사상구 사상로212번길 6 (괘법동)전화051-311-1270영업시간08:30~02:00(익일)휴일연중무휴메뉴국밥, 내장국밥(각 1만원), 따로국밥(1만5백원...",국밥,"2,000~9,000원","['내장국밥', '따로국밥', '순대국밥']",사상구
물꽁식당,부산광역시 중구 흑교로59번길 3 (보수동2가),10:00~21:00,051-257-3230,"메뉴 아귀찜(1인 1만5천원, 소 3만원, 중 5만원, 대 7만원), 아귀수육(소 4만원, 중 5만원, 대 7만원, 특대 7만원), 아귀탕(보통 1만원, 대 1만5천원)","물꽁식당주소부산광역시 중구 흑교로59번길 3 (보수동2가)전화051-257-3230영업시간10:00~21:00휴일연중무휴메뉴아귀찜(1인 1만5천원, 소 3만원, 중 5만원, 대 7...",기타,"5,000~5,000원",['아귀탕'],중구
무진장횟집,정보없음,11:00~21:00,051-721-2956,음식,"무진장횟집주소부산광역시 기장군 기장읍 연화1길 137 (기장읍)전화051-721-2956영업시간11:00~21:00휴일연중무휴메뉴붕장어회(6만원), 모둠회(소 6만원, 중 9만원,...",생선회/해산물,"20,000~35,000원",['생선회'],기타
마가만두주소부산광역,부산광역시 동구 대영로243번길 56 (초량동),11:00~21:00,051-468-4059,"메뉴 물만두, 찐만두, 군만두, 볶음밥(각 8천원), 짬뽕밥, 잡채밥(각 8천원), 유산슬(3만5천원), 탕수육(2만6천원), 라조육, 깐풍육, 라조기(각 3만원)","마가만두주소부산광역시 동구 대영로243번길 56 (초량동)전화051-468-4059영업시간11:00~21:00휴일첫째, 셋째 주 월요일 휴무메뉴물만두, 찐만두, 군만두, 볶음밥(각...",중식,"5,000~8,000원",['대표메뉴'],동구
동화반점,부산광역시 중구 흑교로75번길 3 (보수동2가),11:30~15:00/17:00~21:00,051-253-6661,"메뉴 짜장면(7천원), 간짜장, 짬뽕, 우동(각 8천원), 볶음밥(8천5백원), 유니짜장, 삼선짜장, 삼선볶음밥, 새우볶음밥(각 9천5백원)","동화반점주소부산광역시 중구 흑교로75번길 3 (보수동2가)전화051-253-6661영업시간11:30~15:00/17:00~21:00휴일화요일 휴무메뉴짜장면(7천원), 간짜장, 짬뽕...",국수/면류,"7,000~8,000원",['짜장면'],중구
동래할매파전주소부산,부산광역시 동래구 명륜로94번길 43-10 (복천동),11:30~15:00/17:00~21:00,051-552-0792,음식,"동래할매파전주소부산광역시 동래구 명륜로94번길 43-10 (복천동)전화051-552-0792영업시간11:30~15:00/17:00~21:00휴일월요일 휴무메뉴동래파전(소 2만8천원, 대 4만원), 동래고동찜(3만원), 약초전병무침(2만5천원), 삼색더덕구이, 골뱅이무침(각 2만3천원), 뚜기상(3인 이상, 1인 4만원), 뚜미상(3인 이상, 1인 3만5천원.",복요리,"3,000~8,000원",['대표메뉴'],동래구
대한명인기장곰장어주,정보없음,10:00~22:00(마지막 주문 20:30),051-721-2934,"메뉴 짚불구이, 양념구이, 소금구이(각 3만원), 곰장어매 운탕, 곰장어된장국(각 1만5천원)","대한명인기장곰장어주소부산광역시 기장군 기장읍 기장해안로 70 (기장읍)전화051-721-2934영업시간10:00~22:00(마지막 주문 20:30)휴일명절 휴무메뉴짚불구이, 양념구...",곱창,"5,000~5,000원","['짚불구이', '양념구이', '소금구이']",기타
대성밀냉면,부산광역시 중구 보수대로44번길 6 (부평동3가),10:30~19:00,051-244-9658,"메뉴 밀면(소 8천5백원, 대 9천원), 비빔밀면(소 8천5백원, 대 9천5백원), 냉면(소 1만1천원, 대 1만2천원), 비빔냉면(소 1만2천원, 대 1만3천원)","대성밀냉면주소부산광역시 중구 보수대로44번길 6 (부평동3가)전화051-244-9658영업시간10:30~19:00휴일연중무휴메뉴밀면(소 8천5백원, 대 9천원), 비빔밀면(소 8천...",국수/면류,"1,000~9,000원","['밀면', '비빔밀면', '냉면']",중구
